
Frequency	dB	Unweighted
9500.000000	75.611008	0
9750.000000	75.217484	0
10000.000000	74.805092	0
10300.000000	74.389130	0
10600.000000	73.976913	0
10900.000000	73.764214	0
11200.000000	73.575493	0
11500.000000	73.396797	0
11800.000000	73.227280	0
12200.000000	73.014175	0
12500.000000	72.863174	0
12800.000000	72.719040	0
13200.000000	72.536598	0
13600.000000	72.364220	0
14000.000000	72.200890	0
14500.000000	72.008064	0
15000.000000	71.826408	0
15500.000000	71.654579	0
16000.000000	71.491409	0
16500.000000	71.335907	0
17000.000000	71.187187	0
17500.000000	71.044495	0
18000.000000	70.907143	0
18500.000000	70.774529	0
19000.000000	70.646164	0
19500.000000	70.521568	0
